ID;Notional;Counterparty
371;371000;A
372;372000;B
373;373000;A
374;374000;B
375;375000;A
376;376000;B
377;377000;A
378;378000;B
379;379000;A
380;380000;B
381;381000;A
382;382000;B
383;383000;A
384;384000;B
385;385000;A
386;386000;B
387;387000;A
388;388000;B
389;389000;A
390;390000;B
391;391000;A
392;392000;B
393;393000;A
394;394000;B
395;395000;A
396;396000;B
397;397000;A
398;398000;B
399;399000;A
400;400000;B
401;401000;A
402;402000;B
403;403000;A
404;404000;B
405;405000;A
406;406000;B
407;407000;A
408;408000;B
409;409000;A
410;410000;B
411;411000;A
412;412000;B
413;413000;A
414;414000;B
415;415000;A
416;416000;B
417;417000;A
418;418000;B
419;419000;A
420;420000;B
421;421000;A
422;422000;B
423;423000;A
424;424000;B
425;425000;A
426;426000;B
427;427000;A
428;428000;B
429;429000;A
430;430000;B
431;431000;A
432;432000;B
433;433000;A
434;434000;B
435;435000;A
436;436000;B
437;437000;A
438;438000;B
439;439000;A
440;440000;B
441;441000;A
442;442000;B
443;443000;A
444;444000;B
445;445000;A
446;446000;B
447;447000;A
448;448000;B
449;449000;A
450;450000;B
451;451000;A
452;452000;B
453;453000;A
454;454000;B
455;455000;A
456;456000;B
457;457000;A
458;458000;B
459;459000;A
460;460000;B
461;461000;A
462;462000;B
463;463000;A
464;464000;B
465;465000;A
466;466000;B
467;467000;A
468;468000;B
469;469000;A
470;470000;B
471;471000;A
472;472000;B
473;473000;A
474;474000;B
475;475000;A
476;476000;B
477;477000;A
478;478000;B
479;479000;A
480;480000;B
481;481000;A
482;482000;B
483;483000;A
484;484000;B
485;485000;A
486;486000;B
487;487000;A
488;488000;B
489;489000;A
490;490000;B
491;491000;A
492;492000;B
493;493000;A
494;494000;B
495;495000;A
496;496000;B
497;497000;A
498;498000;B
499;499000;A
500;500000;B
501;501000;A
502;502000;B
503;503000;A
504;504000;B
505;505000;A
506;506000;B
507;507000;A
508;508000;B
509;509000;A
510;510000;B
511;511000;A
512;512000;B
513;513000;A
514;514000;B
515;515000;A
516;516000;B
517;517000;A
518;518000;B
519;519000;A
520;520000;B
521;521000;A
522;522000;B
523;523000;A
524;524000;B
525;525000;A
526;526000;B
527;527000;A
528;528000;B
529;529000;A
530;530000;B
531;531000;A
532;532000;B
533;533000;A
534;534000;B
535;535000;A
536;536000;B
537;537000;A
538;538000;B
539;539000;A
540;540000;B
541;541000;A
542;542000;B
543;543000;A
544;544000;B
545;545000;A
546;546000;B
547;547000;A
548;548000;B
549;549000;A
550;550000;B
551;551000;A
552;552000;B
553;553000;A
554;554000;B
555;555000;A
556;556000;B
557;557000;A
558;558000;B
559;559000;A
560;560000;B
561;561000;A
562;562000;B
563;563000;A
564;564000;B
565;565000;A
566;566000;B
567;567000;A
568;568000;B
569;569000;A
570;570000;B
571;571000;A
572;572000;B
573;573000;A
574;574000;B
575;575000;A
576;576000;B
577;577000;A
578;578000;B
579;579000;A
580;580000;B
581;581000;A
582;582000;B
583;583000;A
584;584000;B
585;585000;A
586;586000;B
587;587000;A
588;588000;B
589;589000;A
590;590000;B
591;591000;A
592;592000;B
593;593000;A
594;594000;B
595;595000;A
596;596000;B
597;597000;A
598;598000;B
599;599000;A
600;600000;B
601;601000;A
602;602000;B
603;603000;A
604;604000;B
605;605000;A
606;606000;B
607;607000;A
608;608000;B
609;609000;A
610;610000;B
611;611000;A
612;612000;B
613;613000;A
614;614000;B
615;615000;A
616;616000;B
617;617000;A
618;618000;B
619;619000;A
620;620000;B
621;621000;A
622;622000;B
623;623000;A
624;624000;B
625;625000;A
626;626000;B
627;627000;A
628;628000;B
629;629000;A
630;630000;B
631;631000;A
632;632000;B
633;633000;A
634;634000;B
635;635000;A
636;636000;B
637;637000;A
638;638000;B
639;639000;A
640;640000;B
641;641000;A
642;642000;B
643;643000;A
644;644000;B
645;645000;A
646;646000;B
647;647000;A
648;648000;B
649;649000;A
650;650000;B
651;651000;A
652;652000;B
653;653000;A
654;654000;B
655;655000;A
656;656000;B
657;657000;A
658;658000;B
659;659000;A
660;660000;B
661;661000;A
662;662000;B
663;663000;A
664;664000;B
665;665000;A
666;666000;B
667;667000;A
668;668000;B
669;669000;A
670;670000;B
671;671000;A
672;672000;B
673;673000;A
674;674000;B
675;675000;A
676;676000;B
677;677000;A
678;678000;B
679;679000;A
680;680000;B
681;681000;A
682;682000;B
683;683000;A
684;684000;B
685;685000;A
686;686000;B
687;687000;A
688;688000;B
689;689000;A
690;690000;B
691;691000;A
692;692000;B
693;693000;A
694;694000;B
695;695000;A
696;696000;B
697;697000;A
698;698000;B
699;699000;A
700;700000;B
701;701000;A
702;702000;B
703;703000;A
704;704000;B
705;705000;A
706;706000;B
707;707000;A
708;708000;B
709;709000;A
710;710000;B
711;711000;A
712;712000;B
713;713000;A
714;714000;B
715;715000;A
716;716000;B
717;717000;A
718;718000;B
719;719000;A
720;720000;B
721;721000;A
722;722000;B
723;723000;A
724;724000;B
725;725000;A
726;726000;B
727;727000;A
728;728000;B
729;729000;A
730;730000;B
731;731000;A
732;732000;B
733;733000;A
734;734000;B
735;735000;A
736;736000;B
737;737000;A
738;738000;B
739;739000;A
740;740000;B
741;741000;A
742;742000;B
743;743000;A
744;744000;B
745;745000;A
746;746000;B
747;747000;A
748;748000;B
749;749000;A
750;750000;B
751;751000;A
752;752000;B
753;753000;A
754;754000;B
755;755000;A
756;756000;B
757;757000;A
758;758000;B
759;759000;A
760;760000;B
761;761000;A
762;762000;B
763;763000;A
764;764000;B
765;765000;A
766;766000;B
767;767000;A
768;768000;B
769;769000;A
770;770000;B
771;771000;A
772;772000;B
773;773000;A
774;774000;B
775;775000;A
776;776000;B
777;777000;A
778;778000;B
779;779000;A
780;780000;B
781;781000;A
782;782000;B
783;783000;A
784;784000;B
785;785000;A
786;786000;B
787;787000;A
788;788000;B
789;789000;A
790;790000;B
791;791000;A
792;792000;B
793;793000;A
794;794000;B
795;795000;A
796;796000;B
797;797000;A
798;798000;B
799;799000;A
800;800000;B
801;801000;A
802;802000;B
803;803000;A
804;804000;B
805;805000;A
806;806000;B
807;807000;A
808;808000;B
809;809000;A
810;810000;B
811;811000;A
812;812000;B
813;813000;A
814;814000;B
815;815000;A
816;816000;B
817;817000;A
818;818000;B
819;819000;A
820;820000;B
821;821000;A
822;822000;B
823;823000;A
824;824000;B
825;825000;A
826;826000;B
827;827000;A
828;828000;B
829;829000;A
830;830000;B
831;831000;A
832;832000;B
833;833000;A
834;834000;B
835;835000;A
836;836000;B
837;837000;A
838;838000;B
839;839000;A
840;840000;B
841;841000;A
842;842000;B
843;843000;A
844;844000;B
845;845000;A
846;846000;B
847;847000;A
848;848000;B
849;849000;A
850;850000;B
851;851000;A
852;852000;B
853;853000;A
854;854000;B
855;855000;A
856;856000;B
857;857000;A
858;858000;B
859;859000;A
860;860000;B
861;861000;A
862;862000;B
863;863000;A
864;864000;B
865;865000;A
866;866000;B
867;867000;A
868;868000;B
869;869000;A
870;870000;B
871;871000;A
872;872000;B
873;873000;A
874;874000;B
875;875000;A
876;876000;B
877;877000;A
878;878000;B
879;879000;A
880;880000;B
881;881000;A
882;882000;B
883;883000;A
884;884000;B
885;885000;A
886;886000;B
887;887000;A
888;888000;B
889;889000;A
890;890000;B
891;891000;A
892;892000;B
893;893000;A
894;894000;B
895;895000;A
896;896000;B
897;897000;A
898;898000;B
899;899000;A
900;900000;B
901;901000;A
902;902000;B
903;903000;A
904;904000;B
905;905000;A
906;906000;B
907;907000;A
908;908000;B
909;909000;A
910;910000;B
911;911000;A
912;912000;B
913;913000;A
914;914000;B
915;915000;A
916;916000;B
917;917000;A
918;918000;B
919;919000;A
920;920000;B
921;921000;A
922;922000;B
923;923000;A
924;924000;B
925;925000;A
926;926000;B
927;927000;A
928;928000;B
929;929000;A
930;930000;B
931;931000;A
932;932000;B
933;933000;A
934;934000;B
935;935000;A
936;936000;B
937;937000;A
938;938000;B
939;939000;A
940;940000;B
941;941000;A
942;942000;B
943;943000;A
944;944000;B
945;945000;A
946;946000;B
947;947000;A
948;948000;B
949;949000;A
950;950000;B
951;951000;A
952;952000;B
953;953000;A
954;954000;B
955;955000;A
956;956000;B
957;957000;A
958;958000;B
959;959000;A
960;960000;B
961;961000;A
962;962000;B
963;963000;A
964;964000;B
965;965000;A
966;966000;B
967;967000;A
968;968000;B
969;969000;A
970;970000;B
971;971000;A
972;972000;B
973;973000;A
974;974000;B
975;975000;A
976;976000;B
977;977000;A
978;978000;B
979;979000;A
980;980000;B
981;981000;A
982;982000;B
983;983000;A
984;984000;B
985;985000;A
986;986000;B
987;987000;A
988;988000;B
989;989000;A
990;990000;B
991;991000;A
992;992000;B
993;993000;A
994;994000;B
995;995000;A
996;996000;B
997;997000;A
998;998000;B
999;999000;A
1000;1000000;B
1001;1001000;A
1002;1002000;B
1003;1003000;A
1004;1004000;B
1005;1005000;A
1006;1006000;B
1007;1007000;A
1008;1008000;B
1009;1009000;A
1010;1010000;B
1011;1011000;A
1012;1012000;B
1013;1013000;A
1014;1014000;B
1015;1015000;A
1016;1016000;B
1017;1017000;A
1018;1018000;B
1019;1019000;A
1020;1020000;B
1021;1021000;A
1022;1022000;B
1023;1023000;A
1024;1024000;B
1025;1025000;A
1026;1026000;B
1027;1027000;A
1028;1028000;B
1029;1029000;A
1030;1030000;B
1031;1031000;A
1032;1032000;B
1033;1033000;A
1034;1034000;B
1035;1035000;A
1036;1036000;B
1037;1037000;A
1038;1038000;B
1039;1039000;A
1040;1040000;B
1041;1041000;A
1042;1042000;B
1043;1043000;A
1044;1044000;B
1045;1045000;A
1046;1046000;B
1047;1047000;A
1048;1048000;B
1049;1049000;A
1050;1050000;B
1051;1051000;A
1052;1052000;B
1053;1053000;A
1054;1054000;B
1055;1055000;A
1056;1056000;B
1057;1057000;A
1058;1058000;B
1059;1059000;A
1060;1060000;B
1061;1061000;A
1062;1062000;B
1063;1063000;A
1064;1064000;B
1065;1065000;A
1066;1066000;B
1067;1067000;A
1068;1068000;B
1069;1069000;A
1070;1070000;B
1071;1071000;A
1072;1072000;B
1073;1073000;A
1074;1074000;B
1075;1075000;A
1076;1076000;B
1077;1077000;A
1078;1078000;B
1079;1079000;A
1080;1080000;B
1081;1081000;A
1082;1082000;B
1083;1083000;A
1084;1084000;B
1085;1085000;A
1086;1086000;B
1087;1087000;A
1088;1088000;B
1089;1089000;A
1090;1090000;B
1091;1091000;A
1092;1092000;B
1093;1093000;A
1094;1094000;B
1095;1095000;A
1096;1096000;B
1097;1097000;A
1098;1098000;B
1099;1099000;A
1100;1100000;B
1101;1101000;A
1102;1102000;B
1103;1103000;A
1104;1104000;B
1105;1105000;A
1106;1106000;B
1107;1107000;A
1108;1108000;B
1109;1109000;A
1110;1110000;B
1111;1111000;A
1112;1112000;B
1113;1113000;A
1114;1114000;B
1115;1115000;A
1116;1116000;B
1117;1117000;A
1118;1118000;B
1119;1119000;A
1120;1120000;B
1121;1121000;A
1122;1122000;B
1123;1123000;A
1124;1124000;B
1125;1125000;A
1126;1126000;B
1127;1127000;A
1128;1128000;B
1129;1129000;A
1130;1130000;B
1131;1131000;A
1132;1132000;B
1133;1133000;A
1134;1134000;B
1135;1135000;A
1136;1136000;B
1137;1137000;A
1138;1138000;B
1139;1139000;A
1140;1140000;B
1141;1141000;A
1142;1142000;B
1143;1143000;A
1144;1144000;B
1145;1145000;A
1146;1146000;B
1147;1147000;A
1148;1148000;B
1149;1149000;A
1150;1150000;B
1151;1151000;A
1152;1152000;B
1153;1153000;A
1154;1154000;B
1155;1155000;A
1156;1156000;B
1157;1157000;A
1158;1158000;B
1159;1159000;A
1160;1160000;B
1161;1161000;A
1162;1162000;B
1163;1163000;A
1164;1164000;B
1165;1165000;A
1166;1166000;B
1167;1167000;A
1168;1168000;B
1169;1169000;A
1170;1170000;B
1171;1171000;A
1172;1172000;B
1173;1173000;A
1174;1174000;B
1175;1175000;A
1176;1176000;B
1177;1177000;A
1178;1178000;B
1179;1179000;A
1180;1180000;B
1181;1181000;A
1182;1182000;B
1183;1183000;A
1184;1184000;B
1185;1185000;A
1186;1186000;B
1187;1187000;A
1188;1188000;B
1189;1189000;A
1190;1190000;B
1191;1191000;A
1192;1192000;B
1193;1193000;A
1194;1194000;B
1195;1195000;A
1196;1196000;B
1197;1197000;A
1198;1198000;B
1199;1199000;A
1200;1200000;B
1201;1201000;A
1202;1202000;B
1203;1203000;A
1204;1204000;B
1205;1205000;A
1206;1206000;B
1207;1207000;A
1208;1208000;B
1209;1209000;A
1210;1210000;B
1211;1211000;A
1212;1212000;B
1213;1213000;A
1214;1214000;B
1215;1215000;A
1216;1216000;B
1217;1217000;A
1218;1218000;B
1219;1219000;A
1220;1220000;B
1221;1221000;A
1222;1222000;B
1223;1223000;A
1224;1224000;B
1225;1225000;A
1226;1226000;B
1227;1227000;A
1228;1228000;B
1229;1229000;A
1230;1230000;B
1231;1231000;A
1232;1232000;B
1233;1233000;A
1234;1234000;B
1235;1235000;A
1236;1236000;B
1237;1237000;A
1238;1238000;B
1239;1239000;A
1240;1240000;B
1241;1241000;A
1242;1242000;B
1243;1243000;A
1244;1244000;B
1245;1245000;A
1246;1246000;B
1247;1247000;A
1248;1248000;B
1249;1249000;A
1250;1250000;B
1251;1251000;A
1252;1252000;B
1253;1253000;A
1254;1254000;B
1255;1255000;A
1256;1256000;B
1257;1257000;A
1258;1258000;B
1259;1259000;A
1260;1260000;B
1261;1261000;A
1262;1262000;B
1263;1263000;A
1264;1264000;B
1265;1265000;A
1266;1266000;B
1267;1267000;A
1268;1268000;B
1269;1269000;A
1270;1270000;B
1271;1271000;A
1272;1272000;B
1273;1273000;A
1274;1274000;B
1275;1275000;A
1276;1276000;B
1277;1277000;A
1278;1278000;B
1279;1279000;A
1280;1280000;B
1281;1281000;A
1282;1282000;B
1283;1283000;A
1284;1284000;B
1285;1285000;A
1286;1286000;B
1287;1287000;A
1288;1288000;B
1289;1289000;A
1290;1290000;B
1291;1291000;A
1292;1292000;B
1293;1293000;A
1294;1294000;B
1295;1295000;A
1296;1296000;B
1297;1297000;A
1298;1298000;B
1299;1299000;A
1300;1300000;B
1301;1301000;A
1302;1302000;B
1303;1303000;A
1304;1304000;B
1305;1305000;A
1306;1306000;B
1307;1307000;A
1308;1308000;B
1309;1309000;A
1310;1310000;B
1311;1311000;A
1312;1312000;B
1313;1313000;A
1314;1314000;B
1315;1315000;A
1316;1316000;B
1317;1317000;A
1318;1318000;B
1319;1319000;A
1320;1320000;B
1321;1321000;A
1322;1322000;B
1323;1323000;A
1324;1324000;B
1325;1325000;A
1326;1326000;B
1327;1327000;A
1328;1328000;B
1329;1329000;A
1330;1330000;B
1331;1331000;A
1332;1332000;B
1333;1333000;A
1334;1334000;B
1335;1335000;A
1336;1336000;B
1337;1337000;A
1338;1338000;B
1339;1339000;A
1340;1340000;B
1341;1341000;A
1342;1342000;B
1343;1343000;A
1344;1344000;B
1345;1345000;A
1346;1346000;B
1347;1347000;A
1348;1348000;B
1349;1349000;A
1350;1350000;B
1351;1351000;A
1352;1352000;B
1353;1353000;A
1354;1354000;B
1355;1355000;A
1356;1356000;B
1357;1357000;A
1358;1358000;B
1359;1359000;A
1360;1360000;B
1361;1361000;A
1362;1362000;B
1363;1363000;A
1364;1364000;B
1365;1365000;A
1366;1366000;B
1367;1367000;A
1368;1368000;B
1369;1369000;A
1370;1370000;B
1371;1371000;A
1372;1372000;B
1373;1373000;A
1374;1374000;B
1375;1375000;A
1376;1376000;B
1377;1377000;A
1378;1378000;B
1379;1379000;A
1380;1380000;B
1381;1381000;A
1382;1382000;B
1383;1383000;A
1384;1384000;B
1385;1385000;A
1386;1386000;B
1387;1387000;A
1388;1388000;B
1389;1389000;A
1390;1390000;B
1391;1391000;A
1392;1392000;B
1393;1393000;A
1394;1394000;B
1395;1395000;A
1396;1396000;B
1397;1397000;A
1398;1398000;B
1399;1399000;A
1400;1400000;B
1401;1401000;A
1402;1402000;B
1403;1403000;A
1404;1404000;B
1405;1405000;A
1406;1406000;B
1407;1407000;A
1408;1408000;B
1409;1409000;A
1410;1410000;B
1411;1411000;A
1412;1412000;B
1413;1413000;A
1414;1414000;B
1415;1415000;A
1416;1416000;B
1417;1417000;A
1418;1418000;B
1419;1419000;A
1420;1420000;B
1421;1421000;A
1422;1422000;B
1423;1423000;A
1424;1424000;B
1425;1425000;A
1426;1426000;B
1427;1427000;A
1428;1428000;B
1429;1429000;A
1430;1430000;B
1431;1431000;A
1432;1432000;B
1433;1433000;A
1434;1434000;B
1435;1435000;A
1436;1436000;B
1437;1437000;A
1438;1438000;B
1439;1439000;A
1440;1440000;B
1441;1441000;A
1442;1442000;B
1443;1443000;A
1444;1444000;B
1445;1445000;A
1446;1446000;B
1447;1447000;A
1448;1448000;B
1449;1449000;A
1450;1450000;B
1451;1451000;A
1452;1452000;B
1453;1453000;A
1454;1454000;B
1455;1455000;A
1456;1456000;B
1457;1457000;A
1458;1458000;B
1459;1459000;A
1460;1460000;B
1461;1461000;A
1462;1462000;B
1463;1463000;A
1464;1464000;B
1465;1465000;A
1466;1466000;B
1467;1467000;A
1468;1468000;B
1469;1469000;A
1470;1470000;B
1471;1471000;A
1472;1472000;B
1473;1473000;A
1474;1474000;B
1475;1475000;A
1476;1476000;B
1477;1477000;A
1478;1478000;B
1479;1479000;A
1480;1480000;B
1481;1481000;A
1482;1482000;B
1483;1483000;A
1484;1484000;B
1485;1485000;A
1486;1486000;B
1487;1487000;A
1488;1488000;B
1489;1489000;A
1490;1490000;B
1491;1491000;A
1492;1492000;B
1493;1493000;A
1494;1494000;B
1495;1495000;A
1496;1496000;B
1497;1497000;A
1498;1498000;B
1499;1499000;A
1500;1500000;B
1501;1501000;A
1502;1502000;B
1503;1503000;A
1504;1504000;B
1505;1505000;A
1506;1506000;B
1507;1507000;A
1508;1508000;B
1509;1509000;A
1510;1510000;B
1511;1511000;A
1512;1512000;B
1513;1513000;A
1514;1514000;B
1515;1515000;A
1516;1516000;B
1517;1517000;A
1518;1518000;B
1519;1519000;A
1520;1520000;B
1521;1521000;A
1522;1522000;B
1523;1523000;A
1524;1524000;B
1525;1525000;A
1526;1526000;B
1527;1527000;A
1528;1528000;B
1529;1529000;A
1530;1530000;B
1531;1531000;A
1532;1532000;B
1533;1533000;A
1534;1534000;B
1535;1535000;A
1536;1536000;B
1537;1537000;A
1538;1538000;B
1539;1539000;A
1540;1540000;B
1541;1541000;A
1542;1542000;B
1543;1543000;A
1544;1544000;B
1545;1545000;A
1546;1546000;B
1547;1547000;A
1548;1548000;B
1549;1549000;A
1550;1550000;B
1551;1551000;A
1552;1552000;B
1553;1553000;A
1554;1554000;B
1555;1555000;A
1556;1556000;B
1557;1557000;A
1558;1558000;B
1559;1559000;A
1560;1560000;B
1561;1561000;A
1562;1562000;B
1563;1563000;A
1564;1564000;B
1565;1565000;A
1566;1566000;B
1567;1567000;A
1568;1568000;B
1569;1569000;A
1570;1570000;B
1571;1571000;A
1572;1572000;B
1573;1573000;A
1574;1574000;B
1575;1575000;A
1576;1576000;B
1577;1577000;A
1578;1578000;B
1579;1579000;A
1580;1580000;B
1581;1581000;A
1582;1582000;B
1583;1583000;A
1584;1584000;B
1585;1585000;A
1586;1586000;B
1587;1587000;A
1588;1588000;B
1589;1589000;A
1590;1590000;B
1591;1591000;A
1592;1592000;B
1593;1593000;A
1594;1594000;B
1595;1595000;A
1596;1596000;B
1597;1597000;A
1598;1598000;B
1599;1599000;A
1600;1600000;B
1601;1601000;A
1602;1602000;B
1603;1603000;A
1604;1604000;B
1605;1605000;A
1606;1606000;B
1607;1607000;A
1608;1608000;B
1609;1609000;A
1610;1610000;B
1611;1611000;A
1612;1612000;B
1613;1613000;A
1614;1614000;B
1615;1615000;A
1616;1616000;B
1617;1617000;A
1618;1618000;B
1619;1619000;A
1620;1620000;B
1621;1621000;A
1622;1622000;B
1623;1623000;A
1624;1624000;B
1625;1625000;A
1626;1626000;B
1627;1627000;A
1628;1628000;B
1629;1629000;A
1630;1630000;B
1631;1631000;A
1632;1632000;B
1633;1633000;A
1634;1634000;B
1635;1635000;A
1636;1636000;B
1637;1637000;A
1638;1638000;B
1639;1639000;A
1640;1640000;B
1641;1641000;A
1642;1642000;B
1643;1643000;A
1644;1644000;B
1645;1645000;A
1646;1646000;B
1647;1647000;A
1648;1648000;B
1649;1649000;A
1650;1650000;B
1651;1651000;A
1652;1652000;B
1653;1653000;A
1654;1654000;B
1655;1655000;A
1656;1656000;B
1657;1657000;A
1658;1658000;B
1659;1659000;A
1660;1660000;B
1661;1661000;A
1662;1662000;B
1663;1663000;A
1664;1664000;B
1665;1665000;A
1666;1666000;B
1667;1667000;A
1668;1668000;B
1669;1669000;A
1670;1670000;B
1671;1671000;A
1672;1672000;B
1673;1673000;A
1674;1674000;B
1675;1675000;A
1676;1676000;B
1677;1677000;A
1678;1678000;B
1679;1679000;A
1680;1680000;B
1681;1681000;A
1682;1682000;B
1683;1683000;A
1684;1684000;B
1685;1685000;A
1686;1686000;B
1687;1687000;A
1688;1688000;B
1689;1689000;A
1690;1690000;B
1691;1691000;A
1692;1692000;B
1693;1693000;A
1694;1694000;B
1695;1695000;A
1696;1696000;B
1697;1697000;A
1698;1698000;B
1699;1699000;A
1700;1700000;B
1701;1701000;A
1702;1702000;B
1703;1703000;A
1704;1704000;B
1705;1705000;A
1706;1706000;B
1707;1707000;A
1708;1708000;B
1709;1709000;A
1710;1710000;B
1711;1711000;A
1712;1712000;B
1713;1713000;A
1714;1714000;B
1715;1715000;A
1716;1716000;B
1717;1717000;A
1718;1718000;B
1719;1719000;A
1720;1720000;B
1721;1721000;A
1722;1722000;B
1723;1723000;A
1724;1724000;B
1725;1725000;A
1726;1726000;B
1727;1727000;A
1728;1728000;B
1729;1729000;A
1730;1730000;B
1731;1731000;A
1732;1732000;B
1733;1733000;A
1734;1734000;B
1735;1735000;A
1736;1736000;B
1737;1737000;A
1738;1738000;B
1739;1739000;A
1740;1740000;B
1741;1741000;A
1742;1742000;B
1743;1743000;A
1744;1744000;B
1745;1745000;A
1746;1746000;B
1747;1747000;A
1748;1748000;B
1749;1749000;A
1750;1750000;B
1751;1751000;A
1752;1752000;B
1753;1753000;A
1754;1754000;B
1755;1755000;A
1756;1756000;B
1757;1757000;A
1758;1758000;B
1759;1759000;A
1760;1760000;B
1761;1761000;A
1762;1762000;B
1763;1763000;A
1764;1764000;B
1765;1765000;A
1766;1766000;B
1767;1767000;A
1768;1768000;B
1769;1769000;A
1770;1770000;B
1771;1771000;A
1772;1772000;B
1773;1773000;A
1774;1774000;B
